id,postcode,suburb,latitude,longitude,solarstation,solarname,solardistance,solarwet,solardry,solarmean,rainstation,rainname,raindistance,rainwet,raindry,rainmean,tempstation,tempname,tempdistance,tempmaxwet,tempmaxdry,tempmaxmean,tempminwet,tempmindry,tempminmean
80,822,Daly River,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
81,822,Darwin MC,-12.426,130.863,14163,Darwin Botanic Gardens,2.99,5.556,6.126,5.841,14163,Darwin Botanic Gardens,2.99,292.248,25.738,171.564,14015,Darwin Airport,3.07,32.676,32.318,32.500,24.978,21.350,23.196
82,822,Darwin River Dam,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
83,822,Delissaville,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
84,822,Douglas-Daly,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
85,822,East Arm,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
86,822,East Arnhem,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
87,822,Elrundie,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
88,822,Eva Valley,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
89,822,Finniss Valley,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
90,822,Fleming,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
91,822,Fly Creek,-12.797,131.034,14143,Majestic Orchids,1.81,5.605,6.058,5.832,14143,Majestic Orchids,1.81,283.448,23.155,159.164,14272,Batchelor Airport,28.09,33.584,33.730,33.656,23.498,18.886,21.232
92,822,Freds Pass,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
93,822,Galiwinku,-12.011,135.517,14517,Ngayawili,6.01,5.708,6.078,5.893,14517,Ngayawili,6.01,208.652,9.265,109.825,14517,Ngayawili,6.01,32.191,30.955,31.584,25.088,20.962,23.080
94,822,Glyde Point,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
95,822,Goulburn Island,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
96,822,Gunbalanya,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
97,822,Gunn Point,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
98,822,Hayes Creek,-13.673,131.326,14073,Hayes Creek,18.11,5.911,6.052,5.982,14073,Hayes Creek,18.11,137.933,8.173,53.971,14901,Douglas River,23.06,34.672,34.307,34.493,23.300,16.673,20.045
99,822,Hidden Valley,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
100,822,Hotham,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
101,822,Hughes,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
102,822,Kakadu,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
103,822,Koolpinyah,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
104,822,Lake Bennett,-12.916,131.059,14035,Manton Dam,11.54,5.678,6.083,5.881,14035,Manton Dam,11.54,287.164,22.492,143.800,14272,Batchelor Airport,15.22,33.584,33.730,33.656,23.498,18.886,21.232
105,822,Lambells Lagoon,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
106,822,Litchfield Park,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
107,822,Livingstone,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
108,822,Lloyd Creek,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
109,822,Mandorah,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
110,822,Maningrida,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
111,822,Maranunga,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
112,822,Margaret River,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
113,822,Marrakai,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
114,822,Mcminns Lagoon,-12.547,131.032,14219,McMinns Lagoon,5.34,5.577,6.069,5.823,14219,McMinns Lagoon,5.34,302.355,19.953,158.632,14015,Darwin Airport,21.15,32.676,32.318,32.500,24.978,21.350,23.196
115,822,Mickett Creek,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
116,822,Middle Point,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
117,822,Milikapiti,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
118,822,Milingimbi,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
119,822,Millwood,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
120,822,Milyakburra,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
121,822,Minjilang,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
122,822,Mount Bundey,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
123,822,Murrumujuk,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
124,822,Nauiyu,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
125,822,Nemarluk,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
126,822,Nganmarriyanga,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
127,822,Nguiu,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
128,822,Numbulwar,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
129,822,Numburindi,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
130,822,Oenpelli,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
131,822,Palumpa,-12.800,131.130,14035,Manton Dam,4.44,5.678,6.083,5.881,14035,Manton Dam,4.44,287.164,22.492,143.800,14272,Batchelor Airport,29.89,33.584,33.730,33.656,23.498,18.886,21.232
